DATASET_EN,DATASET_TC,NAME_EN,ADDRESS_EN,NAME_TC,ADDRESS_TC,NSEARCH01_EN,NSEARCH01_TC,NSEARCH02_EN,NSEARCH02_TC,NSEARCH03_EN,NSEARCH03_TC,NSEARCH04_EN,NSEARCH04_TC,NSEARCH05_EN,NSEARCH05_TC,NORTHING,EASTING,LATITUDE,LONGITUDE,LASTUPDATE,GeometryEasting,GeometryNorthing
Higher Education Institutions,高等教育院校,Saint Francis University,"2 Chui Ling Lane, Tseung Kwan O, New Territories.",聖方濟各大學,新界將軍澳翠嶺里2號,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,818285.77314269,843915.49374266,22.30350496,114.25109227,2024-02-22 11:05:49,843915.4937000005,818285.7730999999
Higher Education Institutions,高等教育院校,Hong Kong College of Technology (Jockey Club Undergraduate Campus),"2 On Shing Street, Ma On Shan, Shatin, N.T.",香港專業進修學校 (賽馬會本科校園),新界沙田馬鞍山鞍誠街2號,,,,,,,,,,,831503,841818,22.42287172,114.23078233,2024-02-19 16:49:20,841818,831503
Higher Education Institutions,高等教育院校,The Hong Kong Polytechnic University,"11 Yuk Choi Road , Hung Hom, Kowloon",香港理工大學,九龍紅磡育才道 11 號,,,,,,,,,,,818355,836556,22.30414709,114.17966937,2024-02-19 16:49:07,836556,818355
Higher Education Institutions,高等教育院校,Gratia Christian College,"5 Wai Chi Street, Shek Kip Mei, Kowloon, Hong Kong",宏恩基督教學院,九龍石硤尾偉智街5號,,,,,,,,,,,821536,835376,22.33287321,114.1682158,2024-02-19 16:48:58,835376,821536
Higher Education Institutions,高等教育院校,HKCT Institute of Higher Education (Jockey Club Undergraduate Campus),"2 On Shing Street, Ma On Shan, N.T.",港專學院 (賽馬會本科校園),新界沙田馬鞍山鞍誠街2號,,,,,,,,,,,831503,841818,22.42287172,114.23078233,2024-02-19 16:48:41,841818,831503
Higher Education Institutions,高等教育院校,HKU SPACE Community College (CITA Learning Centre),"63 Tai Yip Street, Kowloon Bay, Kowloon ",香港大學附屬學院 (製衣業訓練局教學中心),九龍九龍灣大業街63號 ,,,,,,,,,,,820123,839975,22.32010922,114.21285456,2024-02-19 16:48:28,839975,820123
Higher Education Institutions,高等教育院校,Yew Chung College of Early Childhood Education,"2 Tin Wan Hill Road, Tin Wan, Aberdeen, Hong Kong",耀中幼教學院,香港香港仔田灣田灣山道2號,,,,,,,,,,,812375,833259,22.25014127,114.14768345,2024-02-19 16:48:19,833259,812375
Higher Education Institutions,高等教育院校,Hong Kong Chu Hai College,"80 Castle Peak Road, Castle Peak Bay, Tuen Mun, N.T",香港珠海學院,新界屯門青山公路青山灣段 80 號,,,,,,,,,,,826293,816720,22.37572052,113.9870661,2024-02-19 16:48:00,816720,826293
Higher Education Institutions,高等教育院校,City University of Hong Kong - School of Continuing and Professional Education,"2410, 2/F, Li Dak Sum Yip Yio Chin Academic Building (LI), City University of Hong Kong, Tat Chee Avenue, Kowloon",香港城巿大學專業進修學院,九龍塘達之路香港城市大學李達三葉耀珍學術樓2樓2410室,,,,,,,,,,,822065,835714,22.33765053,114.17149655,2024-02-19 16:47:44,835714,822065
Higher Education Institutions,高等教育院校,Hong Kong Art School (a division of Hong Kong Arts Centre) (Main Campus),"10/F, Hong Kong Arts Centre, 2 Harbour Road, Wanchai, Hong Kong",香港藝術學院 (香港藝術中心附屬機構) (本部),香港灣仔港灣道 2 號香港藝術中心 10 樓,,,,,,,,,,,815716,835644,22.28031519,114.1708195,2024-02-19 16:47:27,835644,815716
